
工具名称                 | 工具用途
------------------------|-------------------------------------------
boot_merger		 | 打包或解包loader工具
DDR_UserTool		 | DDR用户测试工具
DriverAssitant          | 驱动安装工具
EfuseTool               | efuse烧写工具
FactoryTool             | 量产升级工具
ParameterTool           | 分区表修改工具
pin_debug_tool          | GPIO调试工具
programmer_image_tool   | 烧录器升级工具
rk_ddrbin_tool          | rk的ddrbin调试工具
RKDevInfoWriteTool      | 写号工具
RKDevTool               | 分立升级固件及整个update升级固件工具
RKDevTool_Release       | 固件烧录工具
RKPCBATool              | PCBA板测试工具
rk_sign_tool            | Secureboot签名工具
Rockchip_HdcpKey_Writer | HDCP key烧写工具
Rockchip_USB_SQ_Tool    | USB PHY 信号质量的调试工作
SDDiskTool              | SD卡启动或升级的镜像制作
SecureBootTool          | 固件签名工具
upgrade_tool            | 命令行升级工具
RKImageMaker            | 命令行打包工具
